대우,,,,NNP,*,F,대우,*,*,*,*,*
구글,,,,NNP,*,T,구글,*,*,*,*,*
공천포,,,,NNP,*,F,*,*,*,*,*,*
민오름(조천읍),,,,NNP,*,F,*,*,*,*,*,*
제주빅볼랜드,,,,NNP,*,F,*,*,*,*,*,*
마오름(맞보기)(안덕),,,,NNP,*,T,*,*,*,*,*,*
제주월드21,,,,NNP,*,T,*,*,*,*,*,*
"과오름(큰오름, 샛오름, 말젯오름)",,,,NNP,*,T,*,*,*,*,*,*
백약이오름,,,,NNP,*,T,*,*,*,*,*,*
오름터 민속마을,,,,NNP,*,T,*,*,*,*,*,*
제주실탄사격장,,,,NNP,*,T,*,*,*,*,*,*
제주승마공원,,,,NNP,*,T,*,*,*,*,*,*
"광이오름 (괭이오름, 肝列岳)",,,,NNP,*,T,*,*,*,*,*,*
제주카약,,,,NNP,*,T,*,*,*,*,*,*
서건도,,,,NNP,*,F,*,*,*,*,*,*
묵리처녀당,,,,NNP,*,T,*,*,*,*,*,*
법화사지,,,,NNP,*,F,*,*,*,*,*,*
제주프린지페스티벌,,,,NNP,*,T,*,*,*,*,*,*
스쿠버스쿨,,,,NNP,*,T,*,*,*,*,*,*
새신오름(신서악),,,,NNP,*,T,*,*,*,*,*,*
수악 (물오름),,,,NNP,*,T,*,*,*,*,*,*
타보카 월정리투명카약,,,,NNP,*,T,*,*,*,*,*,*
지포뮤지엄,,,,NNP,*,T,*,*,*,*,*,*
쉬리의언덕,,,,NNP,*,T,*,*,*,*,*,*
"방주오름 (방지오름, 방제오름)",,,,NNP,*,T,*,*,*,*,*,*
제주월드컵경기장,,,,NNP,*,T,*,*,*,*,*,*
제주돌마을공원,,,,NNP,*,T,*,*,*,*,*,*
시민축구장,,,,NNP,*,T,*,*,*,*,*,*
삼매봉,,,,NNP,*,T,*,*,*,*,*,*
삼사석,,,,NNP,*,T,*,*,*,*,*,*
안돌오름,,,,NNP,*,T,*,*,*,*,*,*
붉은오름(표선면),,,,NNP,*,T,*,*,*,*,*,*
서귀포자연휴양림,,,,NNP,*,T,*,*,*,*,*,*
엉알해안,,,,NNP,*,T,*,*,*,*,*,*
산세미오름 (삼산이오름),,,,NNP,*,T,*,*,*,*,*,*
클럽나인브릿지,,,,NNP,*,F,*,*,*,*,*,*
그랑블루호(선상낚시),,,,NNP,*,T,*,*,*,*,*,*
한라산영실코스,,,,NNP,*,F,*,*,*,*,*,*
삼각봉,,,,NNP,*,T,*,*,*,*,*,*
거문오름승마체험장,,,,NNP,*,T,*,*,*,*,*,*
홍가시나무길(탐라대),,,,NNP,*,T,*,*,*,*,*,*
법정악(법정이),,,,NNP,*,T,*,*,*,*,*,*
모슬봉 (모슬개오름),,,,NNP,*,T,*,*,*,*,*,*
빌레못동굴,,,,NNP,*,T,*,*,*,*,*,*
제주유람선,,,,NNP,*,T,*,*,*,*,*,*
삼형제오름,,,,NNP,*,T,*,*,*,*,*,*
사계해안도로,,,,NNP,*,F,*,*,*,*,*,*
참굴비조형물,,,,NNP,*,T,*,*,*,*,*,*
테디베어사파리 테지움,,,,NNP,*,T,*,*,*,*,*,*
"고내봉(고내오름,고니오름,망오름)",,,,NNP,*,T,*,*,*,*,*,*
예초리포구,,,,NNP,*,F,*,*,*,*,*,*
추자도 숭어체험장,,,,NNP,*,T,*,*,*,*,*,*
통오름,,,,NNP,*,T,*,*,*,*,*,*
논짓물,,,,NNP,*,T,*,*,*,*,*,*
송죽사터,,,,NNP,*,F,*,*,*,*,*,*
해피맘하우스,,,,NNP,*,F,*,*,*,*,*,*
제주에코승마장(구.제주승마장),,,,NNP,*,T,*,*,*,*,*,*
그랑블루호 선상낚시,,,,NNP,*,F,*,*,*,*,*,*
송당본향당,,,,NNP,*,T,*,*,*,*,*,*
"대왕산 (왕뫼, 왕메, 왕미)",,,,NNP,*,T,*,*,*,*,*,*
제라진 제주오프로드 사파리,,,,NNP,*,F,*,*,*,*,*,*
제주불빛정원 테마파크,,,,NNP,*,F,*,*,*,*,*,*
소남머리,,,,NNP,*,F,*,*,*,*,*,*
송악산 진지동굴,,,,NNP,*,T,*,*,*,*,*,*
김녕요트투어,,,,NNP,*,F,*,*,*,*,*,*
제주올레 15-A코스,,,,NNP,*,F,*,*,*,*,*,*
공천포구,,,,NNP,*,F,*,*,*,*,*,*
중문승마공원,,,,NNP,*,T,*,*,*,*,*,*
보목포구,,,,NNP,*,F,*,*,*,*,*,*
번개과학체험관,,,,NNP,*,T,*,*,*,*,*,*
샘이오름,,,,NNP,*,T,*,*,*,*,*,*
나틸다,,,,NNP,*,F,*,*,*,*,*,*
제주난타,,,,NNP,*,F,*,*,*,*,*,*
용연카누클럽,,,,NNP,*,T,*,*,*,*,*,*
케이제주씨워킹,,,,NNP,*,T,*,*,*,*,*,*
범섬,,,,NNP,*,T,*,*,*,*,*,*
1100고지습지,,,,NNP,*,F,*,*,*,*,*,*
천주교 순례길 - 김대건길,,,,NNP,*,T,*,*,*,*,*,*
북촌환해장성,,,,NNP,*,T,*,*,*,*,*,*
박수기정,,,,NNP,*,T,*,*,*,*,*,*
아프리카박물관,,,,NNP,*,T,*,*,*,*,*,*
핸즈웍스,,,,NNP,*,F,*,*,*,*,*,*
귀덕연대,,,,NNP,*,F,*,*,*,*,*,*
모라이,,,,NNP,*,F,*,*,*,*,*,*
천주교 순례길 - 김기량길,,,,NNP,*,T,*,*,*,*,*,*
제주레이크힐스컨트리클럽,,,,NNP,*,T,*,*,*,*,*,*
최영장군사당,,,,NNP,*,T,*,*,*,*,*,*
별방진,,,,NNP,*,T,*,*,*,*,*,*
다빈치뮤지엄,,,,NNP,*,T,*,*,*,*,*,*
"저지오름(닥몰오름,새오름)",,,,NNP,*,T,*,*,*,*,*,*
김녕 월정 지질트레일,,,,NNP,*,T,*,*,*,*,*,*
당오름(안덕면),,,,NNP,*,T,*,*,*,*,*,*
서귀포예술의전당,,,,NNP,*,T,*,*,*,*,*,*
제주힐CC,,,,NNP,*,T,*,*,*,*,*,*
"들레오름 (月坪峰, 月來岳, 月下岳)",,,,NNP,*,T,*,*,*,*,*,*
큰바리메오름,,,,NNP,*,T,*,*,*,*,*,*
우도올레보트,,,,NNP,*,F,*,*,*,*,*,*
카멜리아힐,,,,NNP,*,T,*,*,*,*,*,*
새끼오름 (샛기오름),,,,NNP,*,T,*,*,*,*,*,*
재밋섬파크,,,,NNP,*,F,*,*,*,*,*,*
표선해수욕장,,,,NNP,*,T,*,*,*,*,*,*
이중섭거리,,,,NNP,*,F,*,*,*,*,*,*
한울랜드,,,,NNP,*,F,*,*,*,*,*,*
숫모르편백나무숲길,,,,NNP,*,T,*,*,*,*,*,*
소정방폭포,,,,NNP,*,F,*,*,*,*,*,*
황우지해안 열두굴,,,,NNP,*,T,*,*,*,*,*,*
족은사슴이오름,,,,NNP,*,T,*,*,*,*,*,*
검멀레해변,,,,NNP,*,T,*,*,*,*,*,*
태흥포구,,,,NNP,*,F,*,*,*,*,*,*
다려도,,,,NNP,*,F,*,*,*,*,*,*
그랑블루 요트투어,,,,NNP,*,F,*,*,*,*,*,*
금룡사,,,,NNP,*,F,*,*,*,*,*,*
전농로 서사라문화거리,,,,NNP,*,F,*,*,*,*,*,*
왕이메오름,,,,NNP,*,T,*,*,*,*,*,*
풋감마을 소길리 농어촌체험마을,,,,NNP,*,T,*,*,*,*,*,*
거믄여해안경승지,,,,NNP,*,F,*,*,*,*,*,*
제주현대미술관,,,,NNP,*,T,*,*,*,*,*,*
